stars,comment
4.0 out of 5 stars,"Overall: 8/10:A fantastic package at good value. 6T McLaren is'nt much different from the standard 6T except for the RAM and some minor cosmetic changes. But for a long time fan of the Silver Arrows from Mika Hakkinen's time, a small increase in price was worth it. Call me sentimental! :)Unboxing & contents: 8/10One of the coolest unboxing experiences. The McLaren box is very premium and the booklet starts with giving you a brief glimpse into the history of the brand and some cool pictures from the archives. It is an homage to Bruce McLaren to be honest. The Speed Mark (real Carbon Fire cutout of the McLaren logo) encased in acrylic is pretty good and can serve as a cool table top accessory or paper weight. If not for much it can be a good ice breaker for visitors to your home / office. The Charger and Cable are also customized for the McLaren edition. The Soft PU case is simple black and fits snugly. There was a missed opportunity to throw in some colour for the McLaren edition. All else is pretty much standard. Providing only a USB-C to 3.5 converter is a bummer. For the flagship offering at over 50K, throwing in a Bullet Earphone should have been standard.First Impressions: 9/10The device is actually pretty impressive looking. Especially the orange accents at the Bezel on the back. When you change the angle under light, it almost looks like there are LEDs inside. It looks premium for sure though an actual Carbon Fibre body would have been awesome! Be warned though that the surface is a fingerprint magnet and not easy to wipe off unless you use a good cleaning spray. The Waterdrop notch is barely noticeable and is not much of an issue. The colours are vibrant and while setting up you can choose a profile that suits your taste.Setup: 8/10The SIM Card tray is a standard two Nano-SIM one. No SD Card support still! But with 240 GB usable memory, not much of an issue to be honest. I used the OnePlus switch app to transfer my apps, data and settings. The transition was hassle free and took all of 15 minutes. Most apps worked immediately but a few needed to be uninstalled and reinstalled as they were acting up. I gave it a point less as I think the OnePlus Switch app should be integrated at the setup stage instead of making a new user download it. The phone heats up considerably but it was fine after the initial 30 minutes.Battery: 7/10The unit came with 50% power out of the box and it took me a good 30 minutes to get it to 75% despite using the Warp Charge @ 30W. Probably it was due to the fact that close to 100 apps were being downloaded while it was charging. I will check the charging performance over the next few weeks and update review if required.Performance: 9/10Gaming: Initial performance on gaming is very very good (Asphalt 9 Legends and Real Racing 3). Zero lag and super smooth rendering.  Bloons TD6 is a very resource hungry at lategame levels and the 6T McLaren  made short work of it.Display: The display is really mind-blowing. Video on Youtube and other streaming apps was super smooth and brilliant to look at. One cool feature is that you can pinch zoom the content to include / exclude the waterdrop notch for front camera.  Adaptive brightness is annoying at times and I had to turn it off while playing the racing games.Camera: Have not tested the Camera performance yet. Especially the 4K 60 FPS option. Will do it soon and update the review.Hope this helps!
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Eco friendly
            "
5.0 out of 5 stars,"The features and UI is great but when you take photo against the sunlight after clicking the picture you can see a ""Green Dot"" on the picture.This is not acceptable and all the updates made available hasn't solved this bug
            "
5.0 out of 5 stars,"Great product
            "
5.0 out of 5 stars,"Fast and reliable.
            "
2.0 out of 5 stars,"The phone is crashing and hanging within 3 months of use.The lock button is not working, can't make calls or even listen to music.Extremely disappointed!
            "
5.0 out of 5 stars,"Great Camera
            "
5.0 out of 5 stars,"Loved the design of the phn batter is so good loved it has fast charging it’s so fast look ing it
            "
4.0 out of 5 stars,"You should go for one plus 6,2.It has worst on screen reader yet,tech is nt to realiable as physical fingerprint scanner.3.Bad sound output via dongal,somehow original dongal supress quality of music, Bluetooth works fine,again dongal life is heache.One plus 6 has everything it has just a bigger notch,belive me headphone zack sounds better than dongal.
            "
5.0 out of 5 stars,"Love this phone
            "
3.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Best amongst all the 6Ts! Great battery life, giant display, fast and 256Gb storage! Worth the money.
            "
5.0 out of 5 stars,"Excellent phone
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"I've been using it for over a month and its features are mindblasting.... I recommend this phone if u want to buy a phone under 40000... The processor, ram and the interface is quite satisfactory. Thumbs up 👍
            "
3.0 out of 5 stars,"I did not feel positive on camera quality. Face recognition does not work occasionally. Charging is not as mentioned in the description, it takes longer than I thought it would be.
            "
5.0 out of 5 stars,"everything is perfect. go for it
            "
5.0 out of 5 stars,"Amazing phone....
            "
3.0 out of 5 stars,"Didn't like. Waste of money
            "
5.0 out of 5 stars,"achha h :)
            "
3.0 out of 5 stars,"Till 3 Months it was working fine & fantastic. Even After the careful use, there are few issues which Came on.1) while on call, when we bring the phone to the ears, the phone light should disappear & the touch functions should be disabled automatically. But, it's kept on and everything is been pressed.2) dash charger has stopped functioning. So I started using my old one plus 3t charger.Few more...., Don't know whether one plus will provide a replacement.
            "
4.0 out of 5 stars,"Good specifications with decent price tag
            "
4.0 out of 5 stars,"Fingerprint scanner sensor is bit slow. And I found some bugs even during usage. Otherwise its a good phone.
            "
4.0 out of 5 stars,"Nice
            "
5.0 out of 5 stars,"Good battery backup,good image stabilization but face recognition is not up to mark
            "
5.0 out of 5 stars,"Amazing phone with great configs satisfied to the limit
            "
5.0 out of 5 stars,"It's awesome
            "
3.0 out of 5 stars,"Honest reviewProduct got delivered on 7 April. Everything is good accept mic didn’t work after 3rd day which means other party couldn’t hear me.Today I got replacement and will update the review of new device.
            "
1.0 out of 5 stars,"It’s been only 4 months of use of One Plus 6T that the phone is hanging every now and then. It abruptly powers off. Or shows blue screen. It does not even get rebooted and just get stuck for long. Would not recommend this phone to anyone. Have attached a photo of blue screen that shows up several times in a day depending on phone’s mood.
            "
5.0 out of 5 stars,"Cool
            "
4.0 out of 5 stars,"Good
            "
4.0 out of 5 stars,"Miss headphone jack
            "
5.0 out of 5 stars,"Nice phone in very low budget
            "
1.0 out of 5 stars,"Not worth
            "
5.0 out of 5 stars,"Got stolen my 1st 6T phone, one plus could not help me out for searching the phone. Otherwise every features and hardware's of mobile I can compare to iPhone because the mobile provide the stable application use as well stable hardware support.
            "
5.0 out of 5 stars,"Amazing phone
            "
5.0 out of 5 stars,"Absolutely perfect phone from a good brand ✌🏼
            "
5.0 out of 5 stars,"The best phone in the market is at 37k Price range and trust me it is more than fair pricing.What I loved about OnePlus 6T :1. Blazing fast with Snapdragon 845 processor and 6/8 GB Ram. No Lags!2. Speakers are great with immersive experience.3. Cellular reception GREAT! It means you will have lesser call drops in low connection areas.4. Amoled screen gives a comfortable reading.5. BATTERY : usual business day - 18 hours  Gaming - on 100% charge run PubG 7 full length games for like 5 hours of continuous gaming. No Lags! Extreme graphics and no heating.Charges full 100% in 30 -40 mins. Very fast!6. Amazing camera experience! It's not as best as Google Pixel but then it can be optimised for great shots. 4K videos at 60fps you can take! It's gorgeous.7. 128GB storage!What I didn't like about OnePlus 6T:1. No notification LED due to drop notch.2. Unsure if this is waterproof.3. Volume buttons should have been placed better.4. Pretty heavy phone.5. Reading mode SUCKS! It totally gets like Kindle, all black and white but you can customise it for certain apps.Hope this is a simple review to make your choice.
            "
5.0 out of 5 stars,"Very nice product
            "
5.0 out of 5 stars,"Ty
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Awesome phone
            "
5.0 out of 5 stars,"Amazing phone, no complaints
            "
5.0 out of 5 stars,"Hi , i am one of the first buyers of this one plus mc . Edition , i have done an unboxing on my channel about htis product ..It is a great phone and the features it provides is more likely an iphone but costs you lower than that..More in formation is given belowDescription::--Unlock the speed with the new OnePlus 6T.Features & details::-Camera: 16+20 MP Dual rear camera with Optical Image Stabilization, Super slow motion, Nightscape and Studio Lighting | 16 MP front cameraDisplay: 6.41-inch(16.2 cms) Full HD+ Optic AMOLED display with 2340 x 1080 pixels resolution and an 86% screen-to-body ratioMemory, Storage & SIM: 10GB RAM | 256GB storage | Dual nano SIM with dual standby (4G+4G)Screen Unlock: In-screen fingerprint sensor. The OnePlus 6T unlocks in 0.34s for a seamless and intuitive unlock experienceOperating System and Processor: OxygenOS based on Android 9.0 Pie with 2.8GHz Qualcomm Snapdragon 845 octa-core processorBattery : 3700 mAh lithium-polymer battery with Fast Charge technologyIncluded in the Box: Screen Protector (pre-applied); Translucent Case; OnePlus Fast Charge Type-C Cable; OnePlus Fast Charge Power Adapter; SIM Tray Ejector; Quick Start Guide; Safety Information; OnePlus Type-C to 3.5mm Audio Jack AdapterProduct information ::-10GB+256GB , Speed OrangeOS AndroidRAM 10 GBManufacturer OnePlusProduct Dimensions 15.8 x 0.8 x 7.5 cmItem model number A6010Wireless communication technologies Bluetooth;WiFi HotspotConnectivity technologies GPS;GLONASS;BeiDou;USB 2.0 OTG;IR blaster;Bluetooth v5.0 wireless technology;Wi-Fi 802.11 a/b/g/n/ac;2.4G/5GSpecial features SIM;GPS;Music Player;Video Player;E-mailOther camera features 16MP (Front camera)Form factor Touchscreen PhoneWeight 186 GramsColour Speed OrangeBattery Power Rating 3700Whats in the box Handset, Screen Protector (pre-applied), OnePlus 6T McLaren Bumper Case, USB Type-C Cable, Power Adapter, SIM Tray Ejector, Quick Start Guide, Safety Information, USB Type-C 3.5mm Adapter, McLaren Speed Mark and McLaren BookThank you for reading this review .Pls click on the thumps up if you find this review helpfull.
            "
3.0 out of 5 stars,"Not a very good experience..just a hype. Touch is not perfect, fingerprint recognition sucks. Face recognition is bit good. Within 4 months i can experience a little lag. Also just 2 weeks back i recognise its one speaker is not working.
            "
5.0 out of 5 stars,"Great battery life, Good camera, Great Display and none the less, a good build... Enjoying the mobile since day one and no issues so far...
            "
5.0 out of 5 stars,"Amazing ....Loved it ......
            "
5.0 out of 5 stars,"💖
            "
4.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"A model for other phones
            "
5.0 out of 5 stars,"Excellent 👌
            "
5.0 out of 5 stars,"When playing pubg little bit my handset is hanging
            "
5.0 out of 5 stars,"Ok
            "
5.0 out of 5 stars,"Excellent mobile, Highly recommend
            "
5.0 out of 5 stars,"Perfect phone. Got it in December, trust me value for money. Keeps the health of the phone as you need not charge overnight. By the time one gets ready, the phone is pretty charged up for use. Cheers to Mclaren edition!!!!
            "
4.0 out of 5 stars,"As of now there is no issues
            "
5.0 out of 5 stars,"Cool phone
            "
4.0 out of 5 stars,"Best phone
            "
4.0 out of 5 stars,"Really fast and great overall
            "
5.0 out of 5 stars,"Great product was got.
            "
4.0 out of 5 stars,"Screen display size is not 6.4""
            "
5.0 out of 5 stars,"One of the best phone i have ever used...great graphics.smooth operations..
            "
5.0 out of 5 stars,"Best ever iPhone
            "
5.0 out of 5 stars,"Superb stuff
            "
5.0 out of 5 stars,"I think it's the best smartphone of this generation till now. Great battery performance and great camera and absolutely is best in every feature...
            "
5.0 out of 5 stars,"Good battery backup and camera
            "
5.0 out of 5 stars,"Best product ...
            "
5.0 out of 5 stars,"Great experience after iPhone 😁. Don't regret even a for a penny
            "
5.0 out of 5 stars,"Very good!
            "
4.0 out of 5 stars,"Excellent! Truly beast...
            "
5.0 out of 5 stars," my video will say many thing to those who wrote here bad reviews regading its camera and features 😎
            "
5.0 out of 5 stars,"I like camera
            "
4.0 out of 5 stars,"Vivo nex is better option, it will cost you around 30k, 8gb +128 gb, check the specification of vivo nex and decide
            "
5.0 out of 5 stars,"Worth of money best mobile in Androids
            "
5.0 out of 5 stars,"Excellent oneplus
            "
5.0 out of 5 stars,"The hardware just never lets you settle.
            "
4.0 out of 5 stars,"It's a good phone...camera is well comparable to pixel devices if not better..battery life is enough for me to last nearly  oneday with around 3-4hrs of screen on time on full brightness and some light gaming(15-20 mins pubg),around 15-20 pics daily and mobile data always on
            "
5.0 out of 5 stars,"Amazing
            "
5.0 out of 5 stars,"Best Android
            "
5.0 out of 5 stars,"Great phone. Very good camera. Good speed.
            "
5.0 out of 5 stars,"Bht hard
            "
5.0 out of 5 stars,"Phone performance is superb.battery backup really amusing.image gets distorted sometimes due to lack of stabilization.but video quality is absolutely wonderful.no heating issues.people say that fingerprint scanner is slow,but it's not true,it's really fast.you can buy with confidence 😎
            "
1.0 out of 5 stars,"Frequent call disconnectionHangs too muchRestarted device many timeFinger sensor don't work properly
            "
3.0 out of 5 stars,"Oneplus 6T - Expected Fast recognition on Fingerprint. Only reason i moved from my MI 6pro to this. But same result with 41K+ and below 10+ mobiles.Not even satisfied with Photo quality compare with MI pro 6  ( almost 4 times cheaper is giving Good Performance
            "
4.0 out of 5 stars,"Nice
            "
5.0 out of 5 stars,"Great looks and great specification
            "
5.0 out of 5 stars,"Really good mobile
            "
2.0 out of 5 stars,"Abhi se hang hora hai phone n side button bhi kaam nai Kara thik se...wt to do man .. worse feeling
            "
5.0 out of 5 stars,"Battery performance is little disappointed
            "
5.0 out of 5 stars,"Best phone in android sector
            "
5.0 out of 5 stars,"Brilliant
            "
3.0 out of 5 stars,"Hmm
            "
5.0 out of 5 stars,"Very good product
            "
5.0 out of 5 stars,"Superb product..
            "
4.0 out of 5 stars,"Superb Process
            "
5.0 out of 5 stars,"Superb phone so far..
            "
5.0 out of 5 stars,"3.5mm jack missing otherwise never settle.
            "
5.0 out of 5 stars,"Love the phone. Worth buying it. Features like nightscape are awesome
            "
5.0 out of 5 stars,"Good Product
            "
5.0 out of 5 stars,"Like-PerformanceDislike-Battery
            "
5.0 out of 5 stars,"Just buy itIts India's best quality best selling smartphone
            "
3.0 out of 5 stars," The product I received was defective .
            "
5.0 out of 5 stars,"super fast the speed everybody wants in all manners it is the best......specially on screen fingerprint sensor and apps
            "
5.0 out of 5 stars,"Package arrived as described...And on time.....
            "
2.0 out of 5 stars,"Not bad
            "
5.0 out of 5 stars,"Battery backup
            "
4.0 out of 5 stars,"An excellent product for the price what you pay. Only battery life could have been a little better
            "
5.0 out of 5 stars,"U may purchase Samsung S8 n 9, may purchase LG thinq....Apple 7plus...but nothing can compete one plus 6t in any aspect..camera...speed..processor, battery charging...screen Color resolution ...just go wid it
            "
5.0 out of 5 stars,"Well built ,handly phone and worth for money
            "
1.0 out of 5 stars,"Highly disappointed with 6t over all.... according to me OnePlus 6t is worst phone by OnePlus compare to all the previous phones I have used there's right from OnePlus 2, 3, 5 n 5t. And since day I bought 6t cell it always giving problems n everytime u find a new problem with the phoneAnd in future I feel, I will think 1000 times before buying any OnePlus phone....BIG THUMBS DOWN FROM ME TO ONEPLUS.....
            "
4.0 out of 5 stars,"Mobile and delivery also good...after usage update
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Good as always one plus but camera need improvement slightly 😊
            "
1.0 out of 5 stars,"Aww pathetic hardware. We need at least 256GB ram and 2TB storage to make calls and watch YouTube or do Facebook WhatsApp. I wonder who buy this phone 😂
            "
5.0 out of 5 stars,"My life best cellphone 😀
            "
5.0 out of 5 stars,"Just perfect for every thing.
            "
5.0 out of 5 stars,"Amazing phone...never settle well said...the best phone
            "
2.0 out of 5 stars,"Phone is good worth the price I loved using oneplus.But after 4 and half months after purchase my oneplus6T my phone receiver was damaged and cannot hear voice calls.contacted  service centre Qdigi authorised for oneplus6T services in kerala.TOLD IN 2 DAYS WILL REPAIR IT'S A WEEK NOW STILL SAYING THEY HAVE NOT RECEIVED PARTS.I can't take my phone without repairing  also to collect my phone without repairing again in need to pay 250rs.THIS IS A VERY POOR SERVICE offered to the ONEPLUS LOVERS
            "
5.0 out of 5 stars,"Awesome product. We got it for 34K. My husband absolutely loves it and he uses it for personal use and for Work. He was really confused about buying 6T or Honor View 20. After his research he made the right choice. Because V20 is piece of garbage for this price. And I don't what people are complaing about.Phone looks great, excellent performance and up to 2 days battery on normal usage (Gaming Not included but game is really nice and smooth on this). Stand by goes to 3. Dash charge is amazing.Most of the people said there are some issue with in-display finger print scanner and it's 1st generation but I feel like it's just as fast of a physical scanner.First get to know the tech before reviewing.
            "
4.0 out of 5 stars,"Loved camera and battery life.
            "
5.0 out of 5 stars,"Except the onscreen finger print sensor ... Everything is awesome ....
            "
3.0 out of 5 stars,"I bought OnePlus 6 in July ..so after using 8months I came to know that in the beginning camera was good but now it is not... earlier The UI was fast but now it's slow...the space is lot consumed by Android itself .my images and music and other data hardly go above 5gb but now my free space is 35gb out of 64...it never hangs .. battery charging speed is good around 1hr.from 10% to 95%..battery SOT IS 6HRS EARLIER IT WAS 8HRS...back is still as new and OnePlus 6 was great  value for money!!!  But McLaren edition can't justify it's price ...s10e is good competition for OnePlus 6t McLaren...I think s10e is better value for money as it gives water proofing, better display, flagship camera ,fast charger,better one UI ,Dolby sound,akg headphones,IR SECURITY, wireless charging,128gb storage with SD CARD SUPPORT,superslow mode 960p .etc
            "
1.0 out of 5 stars,"I brought  OnePlus 6 with great expectations... with those amazing specifications and everything... i was realy fond of my One Plus...BUT NOT ANYMORE...It was said that it can be carried out  in rain... why u made such lies?... my sister just poured  some  water on my pants.. I said ""Nothing  to worry, this is one plus 6...Best smart phone EVER...it can ve be  carried out in rain...but can't  swim..so Nothing is gonna happen""... But As soon as i took out the phone from my pockets  to show her... Its screem started acting abnormally... blinking and lines and everything...and in no time it lost display... I GOT INSULTED INFRONT OF EVERYONE.. JUST BECAUSE I TRUSTED MY ONEPLUS...YOU KNOW WHAT, I SUGGESTED ALL MY FRIENDS TO BUY ONEPLUS... AND THEY ALL BROUGHT IT... I LL GIVE YO THEIR NUMBERS  YOU CAN CHECk...MANY OF MY FRIENDS  WERE GOING TO BUY UPCOMING ONEPLUS 7, JUST BECAUSE I WAS TALKING TOOOO MUCH ABOUT ONE PLUS.....  AND I WAS TOO LOOKING FORWARD FOR IT...It took me 4 months of hardwork to rise up 40,000 rupees to join Oneplus Family, niw its gonna cost me moe...ANYWAY THANK YOU,THANKS ALOT FOR YOUR BETTER SERVICE
            "
5.0 out of 5 stars,"Superb..
            "
5.0 out of 5 stars,"Overall a good Package.
            "
5.0 out of 5 stars,"They just captured the imagination of the world.
            "
4.0 out of 5 stars,"Totally satisfied with the phone. It's been three months now and No issues thus far ! Worth the money, though a little costly..
            "
5.0 out of 5 stars,"Nice
            "
1.0 out of 5 stars,"I received a Lifebuoy Soap what tha hell are you.Logo ko lootne ka jariya bana rakha hai unexpected totoly i can't expected this
            "
5.0 out of 5 stars,"Over all is excellent
            "
5.0 out of 5 stars,"Best phone I ever purchased
            "
5.0 out of 5 stars,"Wow amazing product
            "
5.0 out of 5 stars,"One of the best smartphones in the market.
            "
5.0 out of 5 stars,"Superb phone
            "
5.0 out of 5 stars,"Loved.
            "
5.0 out of 5 stars,"awesome phone
            "
3.0 out of 5 stars,"as compeer with other brand its very costly.Battery Backup is poor,reseal value is very lowdiss appoint with product.
            "
5.0 out of 5 stars,"After 6 months of daily usage, I can declare the One Plus 6T to be the best mid-range phone.
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"OP 6t = Awesome. What else u expect from a phone? In low.light with gcam mod excellent shots, really really worth for money. Buy it blindly. It's 4th gen Dual Cam so all the issues sort out in this model, next op7 is 1st gen pop-up camper so guys some issues will there in popups .so if u want a good premium phone pls buy it. And charging in 1hr 10 mins, and I got exactly one day batter life
            "
5.0 out of 5 stars,"Amazing
            "
5.0 out of 5 stars,"Very good
            "
5.0 out of 5 stars,"The OnePlus 6T is fast, handy, and stable.
            "
5.0 out of 5 stars,"Its hangs few of the timesVoice drop down
            "
5.0 out of 5 stars,"What a mobile I luv it Oneplus
            "
1.0 out of 5 stars,"Very poor Network connection what's this I think waste of money .no possible Network connection if there is full Network but data connection slow
            "
5.0 out of 5 stars,"Awesome phone only it should have been with 4000+battery power for such powerful phone but even with this battery power without playing games it lasts for entire day.
            "
4.0 out of 5 stars,"Phone is really superb. No doubt in that. But please don't buy Midnight Black variant as it is having paint chipping issue.
            "
5.0 out of 5 stars,"greatest phone I ever had, the price hasn't gone down since the launch but I agree I'm not using it to its full potential because this phone is just too good to handle, best choice I ever made was to buy this
            "
3.0 out of 5 stars,"Touch for finger recognitionis nt good.N wvery phn like MI Samsung n all have auto wallpaper on screen lock get chng in 30 sec bt One plus doesnt have dt
            "
5.0 out of 5 stars,"Love it!!
            "
5.0 out of 5 stars,"Superb phone.
            "
5.0 out of 5 stars,"Gud
            "
4.0 out of 5 stars,"Mobile was outstanding with superb finger print and good quality camera
            "
5.0 out of 5 stars,"One of best phone of 2018 and 2019.better than Samsung s9
            "
5.0 out of 5 stars,"👍🏻
            "
5.0 out of 5 stars,"Amazing experience....cost around 30k could be better
            "
5.0 out of 5 stars,"Awesome
            "
5.0 out of 5 stars,"Speed is amazing and low light camera quality is beyond. Love all d gestures about Oneplus.
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Wonderful
            "
5.0 out of 5 stars,"I love this phone no lag at all it has all the power for my extreme gaming purpose low light photography is not that great but still a phone worth it's price
            "
5.0 out of 5 stars,"In display fingerprint lock is not stable...poor perfomance of fingerprint lock.
            "
5.0 out of 5 stars,"Nice mobile and a top speed mobile
            "
5.0 out of 5 stars,"Simply loving it!!!
            "
4.0 out of 5 stars,"Nice phone
            "
5.0 out of 5 stars,"I got to know that it has dash charge, that’s the plus point. I didn’t use much more features to talk about it bcz just now I got phone, but my friend recommended this phone, Totally I like it.
            "
4.0 out of 5 stars,"The dislike is battery durability which is very low within 6 hrs drops to 60 to 65 %
            "
5.0 out of 5 stars,"nice looking
            "
4.0 out of 5 stars,"Good quality products
            "
5.0 out of 5 stars,"Everything is super
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"it's good one using for personal use.
            "
5.0 out of 5 stars,"Outstanding performance
            "
5.0 out of 5 stars,"When connected with Bluetooth for music- if received any notification then fluctuation noise will come..need to fix.. #bluetooth 3.0????
            "
5.0 out of 5 stars,"Very nice phone. Very happy to use it.
            "
5.0 out of 5 stars,"Nice
            "
5.0 out of 5 stars,"The phone is absolutely amazing. Waiting for one plus 7 to launch.
            "
4.0 out of 5 stars,"I am Big friends OnePlus. I like OnePlus products.
            "
5.0 out of 5 stars,"cool device for the price
            "
5.0 out of 5 stars,"Long lasting battery. Good camera. Amazing features.
            "
5.0 out of 5 stars,"Best mobile phone
            "
5.0 out of 5 stars,"Its all as mentioned but the finger print scan is tooooo slow. WE could have limit it with face recognition!
            "
5.0 out of 5 stars,"Excellent phone
            "
5.0 out of 5 stars,"First time using 1+.camera quality display 🔋 backup everything is awesome..
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"World's one of the excellent handset.ABSOLUTELY RECOMMENDED!!!!
            "
1.0 out of 5 stars,"I got a defective product. Customer Care tested and agreed that the product was defective. They replaced. Now the new product has an additional defect. I don't see an option to contact customer care now.
            "
5.0 out of 5 stars,"Very good
            "
5.0 out of 5 stars,"Fabulous mobile
            "
5.0 out of 5 stars,"Best product
            "
5.0 out of 5 stars,"Didnt get the bill.
            "
5.0 out of 5 stars,"Good choice
            "
5.0 out of 5 stars,"Excellent Product
            "
5.0 out of 5 stars,"This s by far the most smooth android experience with one plua 6t exactly what i needed. Though camera is not great, all the other aspects of this phone are just amazing.
            "
5.0 out of 5 stars,"It is worth buying
            "
5.0 out of 5 stars,"👍
            "
5.0 out of 5 stars,"Great
            "
5.0 out of 5 stars,"Finger print recognition not very good, fails at times. Face recognition, image stabilization and low light photos are however very good.
            "
5.0 out of 5 stars,"Just loved this product a lot thank you amazon and oneplus and hole team for this product 🙏🏻🙏🏻
            "
5.0 out of 5 stars,"I was searching a phone from last one month. But when I bought this one everything was clear. Every nice phone, very smooth, with so many new features, camera is also nice especially the night mode is excellent. Best phone to but without any hesitation.
            "
5.0 out of 5 stars,"I dont like accessories because my type-c to 3.5mm jack came damaged within the box itself
            "
5.0 out of 5 stars,"Awesome
            "
5.0 out of 5 stars,"Good speed, Nice look, handy and all features are excellent
            "
5.0 out of 5 stars,"Very nice
            "
5.0 out of 5 stars,"Best android phone available
            "
5.0 out of 5 stars,"Nice quality
            "
5.0 out of 5 stars,"With Gcam, the picture comes with lot of details but the phone is damn good
            "
5.0 out of 5 stars,"Slow on finger print sensor
            "
5.0 out of 5 stars,"This is nice phone value for money
            "
5.0 out of 5 stars,"Best one in the market
            "
5.0 out of 5 stars,"Superb
            "
5.0 out of 5 stars,"Camera quality is good not excellance.Design is goodQuality better than others phone.Phone is good and battery life is normal than others phone
            "
5.0 out of 5 stars,"Image stabilization
            "
5.0 out of 5 stars,"Finger print too slow
            "
5.0 out of 5 stars,"Nice one
            "
5.0 out of 5 stars,"I just loved itGreat display and speed 👌I will recommend it
            "
5.0 out of 5 stars,"No expandable storage and 3.5 jack
            "
5.0 out of 5 stars,"Happy with my new mobile
            "
5.0 out of 5 stars,"Anti theft feature should be there for high end phones like this...
            "
5.0 out of 5 stars,"Simply great
            "
5.0 out of 5 stars,"every thing perfect,prompt delivery, the one plus  is the perfect choice in today's modern world keeps all cell phone behind
            "
5.0 out of 5 stars,"Nothing to dislike about phone is good. But they must try new design for phones. Onscreen fingerprint is slightly slow.
            "
5.0 out of 5 stars,"Loving this phone very much
            "
5.0 out of 5 stars,"Ok nice performance but camera quality I phone rocks if we zoom the picture in op6t it will get blur but in I phone it doesn't happen and face recognition and finger print it may not work properly all the time
            "
5.0 out of 5 stars,"Good phone
            "
4.0 out of 5 stars,"Good
            "
4.0 out of 5 stars,"The product serves the purpose of a phone aptly. The game mode is an add on. Hardware button for changing phone modes is useful. Iphone like recent screen management is useful. Gesture shortcuts and camera settings are impressive.The additional headphone jack is however an unnecessary converter addition. Also the finger print sensor is not so impressive.
            "
5.0 out of 5 stars,"Really satisfied with one plus 6T !! Amazon is best online website for purchasing smartphones .
            "
5.0 out of 5 stars,"Best Phone😀
            "
5.0 out of 5 stars,"Everything
            "
5.0 out of 5 stars,"Its good overall
            "
5.0 out of 5 stars,"👌👌
            "
5.0 out of 5 stars,"Good product to u...Nice camera ....Height display and fast processor for gaming and app...Value of money...Feel good to have it
            "
5.0 out of 5 stars,"4 star
            "
5.0 out of 5 stars,"Other than the fact that it is starting to lean on higher price range it's the perfect phone for me thumbs up to one plus
            "
5.0 out of 5 stars,"Not only amazing camera quality,high speed processor n enough storage but also cool notch look n fingerprint sensor makes it damn attractive.I love it for its battery life n super fast charging
            "
5.0 out of 5 stars,"One of the best from 1+
            "
5.0 out of 5 stars,"Loving it
            "
1.0 out of 5 stars,"The phone is useless. The phone does not switch off if the battery dies down. I had a horrible experience and have been disconnected for more than twelve hours now.Service my AMAZON, that too to PRIME CUSTOMERS in this case has been very disappointing. Knowing fully well that Phones are required for connectivity, the company has fixed a technical visit after two days. This is probably the LAST order i am making with AMAZON and purchasing a phone made by a CHINESE BRAND.
            "
5.0 out of 5 stars,"Like
            "
5.0 out of 5 stars,"Great PhoneNice sevice from Amazon too
            "
5.0 out of 5 stars,"Awesome camera, great performance, one of the worth full mobile totally an all-rounder mobile . . . .  . .
            "
1.0 out of 5 stars,"Voice not audible on calls
            "
2.0 out of 5 stars,"Disappointed with the product as phone crashes everytime when I open camera.
            "
4.0 out of 5 stars,"Sound quality bed
            "
1.0 out of 5 stars,"Worst product touch not work properly
            "
1.0 out of 5 stars,"Other brands in market MI/ POCO are at very competitive price,
            "
5.0 out of 5 stars,"Awesome except for SAR Level could be  brought down more😊
            "
5.0 out of 5 stars,"superb camera quality
            "
3.0 out of 5 stars,"sir I want GST INVOICE OF MY PRODUCT..WHICH I BOUGHT.MY GST NO. IS ANXPK1430A1ZH @ 37999
            "
5.0 out of 5 stars,"Best phone ever...
            "
5.0 out of 5 stars,"The best phone in this era. Always go with oneplus rather than xiaomi or apple. The best you can get
            "
5.0 out of 5 stars,"There is nothing to dislike. OnePlus has out-Pixeled the Pixel. The only department Pixel gets a score over the 6T is the camera.
            "
5.0 out of 5 stars,"One plus has created a new definition of Android ...Fab phone
            "
3.0 out of 5 stars,"Sound is very low.
            "
1.0 out of 5 stars,"I have bought 1+3 phone and now the phone is crashed just like that just after 2 years of Gentle use. Now its required to be replaced with new mother board to get my phone work. A phone cant be used more than 2 years at such a high price
            "
4.0 out of 5 stars,"Pros: fast charging, processor wise looks prominent.Cons: design and build quality need some serious modification. Camera not up to the mark with this price range.
            "
5.0 out of 5 stars,"I like this phone.
            "
5.0 out of 5 stars,"Excellent
            "
5.0 out of 5 stars,"Awesome
            "
