stars,comment
4.0 out of 5 stars,"Obivously the Oneplus 6T is an amazing phone and the FREE next day delivery just made my Day. But The ANNOYING part is I ordered a MIDNIGHT BLACK variant but got a THUNDER PURPLE variant. I do accept that I like thunder purple but Midnight black is what I preferred. and the package details also mention it as Midnight black. I didn't want to return the product as it is a time taking process. Anyways not denying the fact that it is an AMAZING PHONE, AMAZON should Double check the product details before delivery.
            "
5.0 out of 5 stars,"Bulky charger, No earphone supplied.
            "
5.0 out of 5 stars,"Product is just perfect but no safety measures has been taken to wrap up the product for safety. Little unsatisfied with the delivery guy and the phone number given by Amazon which doesn't work. It always goes to IVR
            "
5.0 out of 5 stars,"Awesome phone
            "
5.0 out of 5 stars,"Awesome phone. Just love it. I shifted from an iphone to one plus and iam absolutely loving it
            "
5.0 out of 5 stars,"The phone is worth all the hype and claims it makes. It's really fast and has an amazing finger print reader. And the best part, though it looks big, it's not heavy.
            "
4.0 out of 5 stars,"The best Android mobile ever! Works with awesome speed...
            "
5.0 out of 5 stars,"Perfect
            "
5.0 out of 5 stars,"Excellent phone
            "
4.0 out of 5 stars,"I have used Samsung S6edge earlier, the photos of OnePlus 6T is no match without in low lights.... Other features are very good
            "
5.0 out of 5 stars,"Amazing phone
            "
5.0 out of 5 stars,"Love the one plus always a fan!!
            "
5.0 out of 5 stars,"I'm 100% satisfied
            "
5.0 out of 5 stars,"Excellent
            "
5.0 out of 5 stars,"Face recognition is awesome on this cellphone but when time to unlock with fingerprint it's take little bit time n not easily unlocked it
            "
3.0 out of 5 stars,"Voice problem
            "
4.0 out of 5 stars,"To be honest the phone McLaren is good but the phone does not seem to have 10 GB RAM instead you can buy a normal oneplus 6t with 8GB RAM. The phone is absolutely good but not worth to be a 50000 . U may buy a normal one.
            "
5.0 out of 5 stars,"All those who have bought it, are set for atleast next 3 years. Unbeatable phone!
            "
5.0 out of 5 stars,"Nice product , must buy this . the audio and video quaity is far better than any other phone within this range
            "
5.0 out of 5 stars,"Bhut bdiya phon hey,, at a low price, i am wating for one plus7.... thanks amazon
            "
5.0 out of 5 stars,"Good phone phone
            "
2.0 out of 5 stars,"I can't expand the storage through memory card . No any dedicated slot of memory card in one plus 6t.
            "
